cols,rows,inserted_rows,start_op,end_op,time_diff,operation,file_size(KB)
3,12000,1500,2022-07-31 21:05:17.021268,2022-07-31 21:05:17.023261,0.001993,SELECT,2772.0
3,13600,1600,2022-07-31 21:05:17.025256,2022-07-31 21:06:23.127216,66.10196,INSERT,2772.0
3,13600,1600,2022-07-31 21:06:23.129215,2022-07-31 21:06:23.133204,0.003989,SELECT,2772.0
3,15300,1700,2022-07-31 21:06:23.135199,2022-07-31 21:07:25.999371,62.864172,INSERT,2772.0
3,15300,1700,2022-07-31 21:07:26.002392,2022-07-31 21:07:26.007385,0.004993,SELECT,2772.0
3,17100,1800,2022-07-31 21:07:26.009376,2022-07-31 21:08:32.784239,66.774863,INSERT,2772.0
3,17100,1800,2022-07-31 21:08:32.786235,2022-07-31 21:08:32.789226,0.002991,SELECT,2772.0
3,19000,1900,2022-07-31 21:08:32.791221,2022-07-31 21:09:42.993211,70.20199,INSERT,2772.0
3,19000,1900,2022-07-31 21:09:42.994243,2022-07-31 21:09:42.998200,0.003957,SELECT,2772.0
3,21000,2000,2022-07-31 21:09:43.000195,2022-07-31 21:10:56.862095,73.8619,INSERT,2772.0
3,21000,2000,2022-07-31 21:10:56.864049,2022-07-31 21:10:56.868079,0.00403,SELECT,2772.0
3,23100,2100,2022-07-31 21:10:56.870034,2022-07-31 21:12:14.759889,77.889855,INSERT,2772.0
3,23100,2100,2022-07-31 21:12:14.761845,2022-07-31 21:12:14.765834,0.003989,SELECT,2772.0
3,25300,2200,2022-07-31 21:12:14.767829,2022-07-31 21:13:35.754790,80.986961,INSERT,2772.0
3,25300,2200,2022-07-31 21:13:35.756787,2022-07-31 21:13:35.761770,0.004983,SELECT,2772.0
3,27600,2300,2022-07-31 21:13:35.764773,2022-07-31 21:15:00.435952,84.671179,INSERT,2772.0
3,27600,2300,2022-07-31 21:15:00.437947,2022-07-31 21:15:00.443933,0.005986,SELECT,2772.0
3,30000,2400,2022-07-31 21:15:00.445926,2022-07-31 21:16:34.267027,93.821101,INSERT,2772.0
3,30000,2400,2022-07-31 21:16:34.268024,2022-07-31 21:16:34.274038,0.006014,SELECT,2772.0
3,32500,2500,2022-07-31 21:16:34.276004,2022-07-31 21:18:10.695556,96.419552,INSERT,2772.0
3,32500,2500,2022-07-31 21:18:10.699541,2022-07-31 21:18:10.710476,0.010935,SELECT,2772.0
3,35100,2600,2022-07-31 21:18:10.712471,2022-07-31 21:19:46.628708,95.916237,INSERT,2772.0
3,35100,2600,2022-07-31 21:19:46.630704,2022-07-31 21:19:46.636687,0.005983,SELECT,2772.0
3,37800,2700,2022-07-31 21:19:46.638682,2022-07-31 21:21:29.241740,102.603058,INSERT,2772.0
3,37800,2700,2022-07-31 21:21:29.243704,2022-07-31 21:21:29.251681,0.007977,SELECT,2772.0
3,40600,2800,2022-07-31 21:21:29.253677,2022-07-31 21:23:12.508928,103.255251,INSERT,2772.0
3,40600,2800,2022-07-31 21:23:12.510926,2022-07-31 21:23:12.518900,0.007974,SELECT,2772.0
3,43500,2900,2022-07-31 21:23:12.519898,2022-07-31 21:24:59.325812,106.805914,INSERT,2772.0
3,43500,2900,2022-07-31 21:24:59.327808,2022-07-31 21:24:59.335819,0.008011,SELECT,2772.0
