cols,rows,inserted_rows,start_op,end_op,time_diff,operation
3,52800,3200,2023-02-03 07:42:19.359387,2023-02-03 07:42:19.526483,0.167096,INSERT
3,52800,3200,2023-02-03 07:42:19.531469,2023-02-03 07:42:19.531469,0.0,SELECT
3,56100,3300,2023-02-03 07:42:19.536457,2023-02-03 07:42:19.711987,0.17553,INSERT
3,56100,3300,2023-02-03 07:42:19.716974,2023-02-03 07:42:19.717972,0.000998,SELECT
3,59500,3400,2023-02-03 07:42:19.722960,2023-02-03 07:42:20.018482,0.295522,INSERT
3,59500,3400,2023-02-03 07:42:20.024870,2023-02-03 07:42:20.024870,0.0,SELECT
3,63000,3500,2023-02-03 07:42:20.031134,2023-02-03 07:42:20.241290,0.210156,INSERT
3,63000,3500,2023-02-03 07:42:20.246277,2023-02-03 07:42:20.247274,0.000997,SELECT
3,66600,3600,2023-02-03 07:42:20.252261,2023-02-03 07:42:20.455226,0.202965,INSERT
3,66600,3600,2023-02-03 07:42:20.463205,2023-02-03 07:42:20.463205,0.0,SELECT
3,70300,3700,2023-02-03 07:42:20.469189,2023-02-03 07:42:20.681620,0.212431,INSERT
3,70300,3700,2023-02-03 07:42:20.687605,2023-02-03 07:42:20.687605,0.0,SELECT
3,74100,3800,2023-02-03 07:42:20.693590,2023-02-03 07:42:20.913002,0.219412,INSERT
3,74100,3800,2023-02-03 07:42:20.918986,2023-02-03 07:42:20.918986,0.0,SELECT
3,78000,3900,2023-02-03 07:42:20.925967,2023-02-03 07:42:21.135407,0.20944,INSERT
3,78000,3900,2023-02-03 07:42:21.142389,2023-02-03 07:42:21.142389,0.0,SELECT
3,82000,4000,2023-02-03 07:42:21.149370,2023-02-03 07:42:21.379754,0.230384,INSERT
3,82000,4000,2023-02-03 07:42:21.386736,2023-02-03 07:42:21.386736,0.0,SELECT
3,86100,4100,2023-02-03 07:42:21.393716,2023-02-03 07:42:21.610405,0.216689,INSERT
3,86100,4100,2023-02-03 07:42:21.617386,2023-02-03 07:42:21.617386,0.0,SELECT
3,90300,4200,2023-02-03 07:42:21.625364,2023-02-03 07:42:21.894768,0.269404,INSERT
3,90300,4200,2023-02-03 07:42:21.905738,2023-02-03 07:42:21.906736,0.000998,SELECT
